# Generated by tools/extract_params/extract_pm7.py; do not hand edit.
# Source: MOPAC v23.2.5 src/models/parameters_for_PM7_TS_C.F90 (Apache-2.0).
z,n,ios,iop,iod,core_charge,eheat_kcal,u_ss,u_pp,u_dd,zeta_s,zeta_p,zeta_d,beta_s,beta_p,beta_d,g_ss,g_sp,g_pp,g_p2,h_sp,zsn,zpn,zdn,f0sd,g2sd,alpha,poc,polvol,g1_1,g1_2,g1_3,g1_4,g2_1,g2_2,g2_3,g2_4,g3_1,g3_2,g3_3,g3_4
61,6,2,0,1,3,83.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,6,2,0,1,3,49.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,6,2,0,1,3,41.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,6,2,0,1,3,95.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,6,2,0,1,3,92.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,6,2,0,1,3,69.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6,2,0,1,3,71.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6,2,0,1,3,75.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,6,2,0,1,3,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,6,2,0,1,3,36.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,6,2,0,1,3,102.199,-21.914035,54.132176,-24.661582,2.327039,6.000335,1.208414,-26.14372,-9.506888,3.47208,1.708751,2.037073,10.30591,8.938585,0.000293,0.44917,2.469444,2.216418,9.700135,6.013887,0,5.824175,0,0,0,0,0,0,0,0,0,0,0,0,0
72,6,2,0,2,4,148,-25.690382,-9.47941,-39.077741,2.854938,3.079458,2.067146,-4.866355,-21.264221,-12.878794,11.791941,12.198754,13.909964,12.064475,3.057466,3.099683,3.333027,3.02502,4.020384,4.323408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,6,2,0,3,5,186.9,-34.075891,-5.504664,-35.65046,4.116264,3.380936,1.755408,-15.943219,8.985389,-11.508162,3.847731,4.550506,8.927545,7.743093,0.256277,1.011432,2.139168,1.685479,7.257766,1.619809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,6,1,0,5,6,203.1,-52.048404,-39.590059,-53.55692,3.881177,2.044717,1.928901,-63.148771,-2.737119,1.132748,13.168346,8.485482,7.947717,6.893262,0.826801,3.461491,1.904387,2.18034,10.002668,3.417555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,6,2,0,5,7,185,-41.679545,43.429894,-54.761512,2.452162,1.583194,2.414839,8.467231,-6.468335,-11.13639,9.257297,3.79629,3.497395,3.033382,0.04633,2.433415,0.838026,1.921708,5.229236,1.821985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,6,2,0,6,8,188,-65.963764,37.736568,-89.718816,3.094808,2.845232,1.986395,-43.486712,-25.607006,-1.430819,9.941551,8.617668,8.609401,7.467158,1.886033,2.613281,2.062936,2.944917,8.75898,4.717871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,6,2,0,7,9,160,-40.856798,-2.270208,-68.020682,1.924564,3.510744,2.437796,-11.770307,-13.487742,-5.642629,8.022296,2.803574,2.580839,2.238429,0.0131,2.108777,0.618406,1.826929,3.726074,2.747207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
