# Generated by tools/extract_params/extract_pm7.py; do not hand edit.
# Source: MOPAC v23.2.5 src/models/parameters_for_PM7_C.F90 (Apache-2.0).
z_hi,z_lo,alpb,xfac
37,1,1.890495,4.316836
37,2,1.543436,1.804024
37,5,2.989999,10.280532
37,6,2.287377,24.603216
37,7,2.205212,19.919815
37,8,1.572166,0.791546
37,9,3.131045,2.629683
37,10,2.42971,7.683406
37,13,0.93106,19.138062
37,15,0.922429,0.526907
37,16,1.28568,1.380751
37,17,1.349244,0.714916
37,18,2.581073,18.431817
37,19,1.719577,1.174003
37,23,2.024277,12.360809
37,24,1.569973,5.846691
37,35,1.737339,7.887658
37,36,2.413547,15.315026
37,37,0.684616,4.280624
38,1,2.918082,18.457472
38,6,2.80215,11.414713
38,7,3.025117,14.10381
38,8,3.921499,17.067149
38,9,3.309755,3.758667
38,14,2.416117,29.99603
38,15,2.273841,23.94665
38,16,3.325295,41.563327
38,17,3.501974,39.960719
38,22,2.88003,2.81725
38,31,1.489463,2.800419
38,35,3.086374,19.218824
38,38,2.194036,31.81735
39,1,2.322175,6.935667
39,3,1.212009,0.577598
39,6,2.541211,19.95724
39,7,2.084245,3.253368
39,8,2.086475,1.424444
39,9,3.245964,9.257528
39,13,1.0035,0.50067
39,14,2.01682,3.21903
39,15,1.172165,1.726458
39,16,1.345475,0.961448
39,17,1.8827,2.186706
39,19,0.947193,1.143281
39,35,1.3596,1.090173
39,39,1.533049,15.620872
40,1,1.536594,0.414278
40,6,1.73832,0.715392
40,7,1.986255,1.386137
40,8,2.093741,1.293822
40,9,2.406399,1.606098
40,13,1.27062,0.87406
40,14,1.605795,1.566491
40,15,0.96391,1.020015
40,16,0.957666,0.200522
40,17,2.352409,2.27363
40,35,1.617591,1.243772
40,40,2.714671,29.768192
41,1,2.321651,6.958727
41,6,2.277928,1.991488
41,7,2.810017,4.37426
41,8,2.71567,2.793681
41,9,3.115376,3.297982
41,11,2.55101,8.27602
41,15,1.922968,6.219347
41,16,2.27955,3.225637
41,17,2.757523,6.452483
41,19,4.52136,2.02659
41,35,2.531918,8.316457
41,41,2.030464,10.027153
42,1,2.139004,1.177934
42,3,2.201335,5.209247
42,6,2.140063,1.042667
42,7,2.293955,1.330858
42,8,2.197353,0.864597
42,9,2.593518,1.107779
42,11,2.44077,8.28655
42,15,1.850441,1.522846
42,16,2.34335,1.822187
42,17,2.358706,1.570824
42,19,1.594941,10.522232
42,24,1.873232,0.484096
42,26,2.239581,3.257115
42,35,1.934589,1.291525
42,37,2.971399,0.874676
42,42,1.078447,0.223956
43,1,2.576199,5.418951
43,6,2.815972,3.999428
43,7,2.177956,0.980071
43,8,2.535619,1.303538
43,9,3.385092,3.880884
43,15,0.930051,0.470758
43,16,2.141702,1.44991
43,17,2.360242,1.744657
43,32,2.85282,2.15206
43,34,2.52366,2.20262
43,35,2.68833,6.426037
43,43,2.153,2.572063
44,1,3.031003,0.46249
44,6,2.661734,0.434352
44,7,1.951233,0.271221
44,8,1.928484,0.33959
44,9,2.719488,0.680978
44,14,2.77591,0.84943
44,15,1.440298,0.482587
44,16,3.002139,0.788319
44,17,3.34074,1.986295
44,32,2.85232,2.15156
44,34,2.52316,2.20212
44,35,2.611647,3.893512
44,44,2.341541,0.984874
45,1,2.716287,1.728302
45,5,2.4,2
45,6,3.0077,0.562962
45,7,3.028135,1.013618
45,8,3.452408,1.534037
45,9,3.083507,0.772245
45,14,2.77649,0.85001
45,15,2.236601,0.738916
45,16,3.00542,0.970563
45,17,3.542676,0.628186
45,32,2.8529,2.15214
45,34,2.52374,2.2027
45,35,2.893677,1.441509
45,45,3.281577,17.154616
46,1,3.052992,0.675244
46,6,1.449994,0.040769
46,7,2.319285,0.327063
46,8,2.362481,0.394849
46,9,3.117188,0.610235
46,13,1.57272,1.05729
46,14,2.714212,1.381243
46,15,0.876896,0.223289
46,16,3.134436,0.568359
46,17,2.966363,0.764165
46,35,2.08779,0.491172
46,46,1.712149,0.297913
47,1,1.866268,0.669745
47,5,1.45427,2.733745
47,6,2.401775,1.108319
47,7,2.835438,1.090232
47,8,2.453629,0.37245
47,9,3.119532,0.897783
47,13,1.68375,1.093559
47,15,1.305572,0.482631
47,16,2.57567,1.817701
47,17,3.198107,3.386746
47,19,2.092259,5.619211
47,24,2.700428,21.083639
47,35,3.259287,6.11185
47,46,4,2
47,47,1.489404,0.178879
48,1,1.87549,3.377913
48,6,1.940388,3.855359
48,7,1.769441,1.48146
48,8,2.668165,5.349517
48,9,3.174783,8.351869
48,11,2,6
48,14,1.286882,2.345912
48,16,1.735391,2.929257
48,17,1.87017,2.254752
48,19,1.03358,2.093242
48,34,1.881368,6.139995
48,35,1.918455,5.550415
48,48,1.428097,10.662907
49,1,1.852461,1.773147
49,5,1.73548,1.951651
49,6,1.810115,1.04154
49,7,2.052217,1.529722
49,8,2.17811,1.467957
49,9,2.319418,1.018315
49,16,2.430104,4.796933
49,17,2.21188,2.224354
49,31,1.596053,2.473577
49,33,1.520977,1.37557
49,34,1.362364,0.598029
49,35,1.862313,2.138634
49,37,0.859259,4.688357
49,49,2.601789,24.204383
50,1,1.855042,1.459969
50,6,1.818782,0.961947
50,7,1.78356,0.731228
50,8,1.959102,0.723272
50,9,2.593459,1.477352
50,13,1.597939,2.36799
50,16,2.065722,1.90907
50,17,1.887044,0.944374
50,19,2.238329,3.440153
50,32,2.016055,3.500376
50,34,1.393411,0.413851
50,35,1.594297,0.954605
50,50,1.045406,0.30046
51,1,1.091035,0.408876
51,6,1.240714,0.327493
51,7,0.846645,0.137604
51,8,1.462059,0.346536
51,9,1.622505,0.283768
51,11,1.1068,0.547287
51,13,1.085906,1.291895
51,14,2.519702,8.707039
51,16,1.016407,0.211102
51,17,1.17071,0.217072
51,25,1.698753,2.384408
51,27,2.20463,2.27605
51,35,1.227775,0.567204
51,43,2.20485,2.27626
51,44,2.968084,2.509269
51,45,2.20493,2.27634
51,49,1.011173,0.470521
51,51,0.657753,0.219843
52,1,2.879705,7.645321
52,5,2.443355,2.926026
52,6,2.858205,7.51338
52,7,2.54806,2.356842
52,8,2.359294,1.147602
52,9,3.10903,2.199214
52,13,1.783994,9.30533
52,15,1.482343,1.45996
52,16,2.969323,14.279019
52,17,1.47573,0.51483
52,19,1.257635,2.073198
52,30,1.704782,4.12526
52,32,2.049526,7.601044
52,33,1.275249,0.866529
52,34,1.585819,1.3228
52,35,2.316655,4.15856
52,48,1.759718,8.405812
52,49,1.913212,9.943252
52,50,2.265433,11.004064
52,51,1.634994,0.575666
52,52,3.032862,29.604279
53,1,2.303917,2.456367
53,2,2.264096,2.613098
53,3,1.392191,1.220335
53,4,2.137694,4.012926
53,5,1.94915,1.926808
53,6,2.148076,1.536813
53,7,2.2043,1.197247
53,8,2.031236,0.673908
53,9,2.168508,0.518622
53,10,2.57252,1.449278
53,11,1.999781,12.909796
53,12,1.832289,4.415343
53,13,1.515624,2.691541
53,14,1.472015,1.272495
53,15,1.560276,2.308251
53,16,2.108468,1.287638
53,17,1.67448,0.582734
53,18,1.583967,0.297828
53,19,1.527318,6.255639
53,20,1.931292,5.485613
53,21,1.888645,4.305507
53,22,1.56943,2.273746
53,23,1.204771,0.566891
53,24,1.505878,0.754833
53,25,1.92097,2.239969
53,26,1.995455,1.24412
53,27,2.394155,3.145732
53,28,2.491283,3.452112
53,29,3.049738,5.342329
53,30,1.785943,4.270507
53,31,1.903558,3.519264
53,32,1.43133,0.946363
53,33,1.454624,0.863506
53,34,1.464103,0.509254
53,35,1.793757,1.192163
53,36,1.242469,0.195416
53,37,0.893509,0.753057
53,38,2.702289,32.56124
53,39,1.443236,2.307839
53,40,1.402802,1.833851
53,41,2.001333,4.678302
53,42,2.042051,3.61824
53,43,2.576693,9.860653
53,44,1.432008,0.552218
53,45,2.347687,1.588054
53,46,1.720521,0.587118
53,47,2.959757,9.538157
53,48,1.751947,6.82082
53,49,1.830626,4.30275
53,50,2.479003,24.450811
53,51,1.114193,0.767547
53,52,2.102109,4.751442
53,53,1.619225,1.278518
54,1,1.356861,0.701016
54,2,2.497832,2.599471
54,3,1.697716,4.467048
54,4,6.000011,0.654334
54,5,3.233962,1.995594
54,6,1.70444,0.826727
54,7,1.932952,0.925624
54,8,2.566313,1.623526
54,9,2.837749,2.08648
54,10,1.330202,0.293862
54,11,1.291138,5.0761
54,12,2.756089,9.77496
54,13,2.420691,7.358944
54,14,2.796986,16.526889
54,17,1.389615,0.593028
54,18,0.59152,0.049266
54,19,0.886811,1.526138
54,20,1.69889,2.050654
54,35,1.4009,0.71137
54,36,0.551561,0.049793
54,37,1.345397,1.856289
54,53,1.187975,0.555791
54,54,1.91251,9.565337
55,1,1.719572,2.711386
55,5,3.000034,10.289233
55,6,2.251416,17.858749
55,7,2.465681,28.2701
55,8,1.517551,0.871027
55,9,1.636155,0.551707
55,15,0.917812,0.499881
55,16,1.348833,1.767711
55,17,1.241351,0.942491
55,19,1.722882,1.188658
55,23,2.002665,11.159719
55,35,1.94982,13.999636
55,39,0.929803,1.057035
55,49,0.852581,4.457697
55,53,1.239277,3.226708
55,55,1.267283,29.382256
56,1,3.120384,27.058819
56,6,1.318794,0.549254
56,7,2.188957,4.679835
56,8,2.337452,4.174798
56,9,2.539909,3.008132
56,12,1.4326,10.342497
56,13,2.891358,15.460538
56,14,0.996995,0.88782
56,15,1.646819,8.719637
56,16,1.637082,1.742576
56,17,1.987384,2.636334
56,20,1.342035,2.833561
56,22,1.702345,4.943061
56,29,1.69985,1.896329
56,35,1.806723,2.830984
56,51,1.329425,12.262981
56,53,1.370665,2.112756
56,56,1.860576,57.199345
57,1,1.073406,0.399521
57,6,2.129683,4.650201
57,7,2.329214,2.192625
57,8,1.940554,1.648001
57,9,2.228378,1.892928
57,13,1.00351,0.50054
57,14,2.872867,1.218295
57,15,1.991054,18.284518
57,16,1.158196,0.486832
57,17,1.835651,1.631876
57,35,1.253581,0.731795
57,53,1.612519,3.278712
57,57,2.066209,29.272376
64,1,0.39087,0.13581
64,6,0.44687,0.05304
64,7,1.15941,0.20505
64,8,0.86204,0.1758
64,9,1.49798,0.33463
64,13,1.00351,0.50054
64,14,2.112525,3.203995
64,15,0.95445,0.54166
64,16,2.00393,2.6554
64,17,0.80681,0.08997
64,35,0.71581,0.24074
64,53,0.58536,0.27824
64,64,3.34818,2.6704
71,1,2.089118,7.42149
71,6,2.38683,6.432873
71,7,1.647895,0.783123
71,8,1.88919,0.868896
71,9,1.888274,1.730185
71,15,1.345992,8.048165
71,17,2.558367,8.330639
71,35,1.381701,0.992835
71,53,1.436788,4.313665
71,71,1.403653,21.889048
72,1,2.088799,3.833288
72,5,1.61737,0.588837
72,6,2.294622,4.159075
72,7,2.521801,5.468404
72,8,2.446232,2.857484
72,9,2.979096,4.736067
72,11,1.840619,8.832085
72,12,1.91135,4.33025
72,13,0.94915,0.62252
72,14,2.1893,3.3823
72,15,2.099591,5.936976
72,16,2.32711,1.66676
72,17,1.953166,1.685929
72,20,2.0545,4.31951
72,33,1.7995,1.28082
72,35,2.237896,6.312154
72,53,2.354639,18.443532
72,56,2.26483,9.02252
72,72,2.216588,29.394192
73,1,1.786631,1.89311
73,6,1.45072,0.58137
73,7,2.013737,1.152896
73,8,2.494885,2.316225
73,9,2.732769,2.163084
73,11,2.55112,8.27613
73,15,2.5138,6.26188
73,16,2.091335,3.201126
73,17,2.003584,1.661719
73,19,4.52147,2.0267
73,35,1.962327,3.31046
73,53,1.500797,1.99537
73,73,0.982767,0.831956
74,1,2.66539,5.441909
74,6,2.600118,4.729842
74,7,2.505903,3.877751
74,8,2.343168,1.878859
74,9,2.411756,1.368205
74,11,1.090156,0.686226
74,12,1.434249,1.904971
74,15,1.715627,4.472129
74,16,2.045564,2.401567
74,17,1.907817,1.34956
74,19,1.521243,2.096182
74,20,1.870733,8.590544
74,26,1.787925,1.977394
74,28,1.775099,1.430746
74,30,1.928464,5.376323
74,35,2.143627,3.993357
74,37,0.900113,4.075269
74,40,2.023641,19.994079
