case	atoms	charge	multiplicity	mopac_hof_kcal	pm7rs_hof_kcal	d_hof_kcal	mopac_homo_ev	pm7rs_homo_ev	d_homo_ev	mopac_lumo_ev	pm7rs_lumo_ev	d_lumo_ev	mopac_dipole_debye	pm7rs_dipole_debye	d_dipole_debye	worst_charge_e	mopac_s2	pm7rs_s2	d_s2
tetramethyltin	17	0	1	-1.082730	-1.082717	0.000013	-10.4960	-10.4963	-0.0003	1.8520	1.8516	-0.0004	0.0000	0.0000	0.0000	0.00000036			
methylmagnesium_chloride	6	0	1	-49.191290	-49.152756	0.038534	-10.4850	-10.4848	0.0002	0.8060	0.8063	0.0003	3.5780	3.5779	-0.0001	0.00000043			
titanocene_dichloride	23	0	1	3121.259760	3120.465454	-0.794306	-8.5120	-8.5101	0.0019	-2.3670	-2.3590	0.0080	7.9730	7.9289	-0.0441	0.00376299			
carbon_atom_triplet	1	0	3	170.890000	170.890000	0.000000	-8.2200	-8.2203	-0.0003	0.6320	0.6318	-0.0002	0.0000	0.0000	0.0000	0.00000000	2.000000	2.000000	0.000000
nitrogen_atom_quartet	1	0	4	113.000000	113.000000	-0.000000		-14.0933					0.0000	0.0000	0.0000	0.00000000	3.750000	3.750000	0.000000
oxygen_atom_triplet	1	0	3	59.559000	59.559000	-0.000000		-12.4402					0.0000	0.0000	0.0000	0.00000000	2.000000	2.000000	0.000000
fluorine_atom_doublet	1	0	2	18.890000	18.890000	-0.000000		-12.5514					0.0000	0.0000	0.0000	0.00000000	0.750000	0.750000	0.000000
phosphorus_atom_quartet	1	0	4	75.570000	75.570000	0.000000		-10.9635			104.6507		0.0000	0.0000	0.0000	0.00000000	3.750000	3.750000	0.000000
sulfur_atom_triplet	1	0	3	66.051280	66.051281	0.000001	-9.7370	-9.7374	-0.0004	-0.9630	-0.9634	-0.0004	0.0000	0.0000	0.0000	0.00000000	2.002689	2.002689	-0.000000
silicon_atom_triplet	1	0	3	108.287070	108.287070	-0.000000	-6.7530	-6.7530	-0.0000	1.7390	1.7391	0.0001	0.0000	0.0000	0.0000	0.00000000	2.000294	2.000294	0.000000
difluoroamino_radical	3	0	2	18.673150	18.673148	-0.000002	-12.6830	-12.6828	0.0002	0.3700	0.3700	-0.0000	0.4200	0.4205	0.0005	0.00000040	0.756183	0.756183	-0.000000
cyanide_radical	2	0	2	104.143150	104.143152	0.000002	-12.8350	-12.8354	-0.0004	0.9040	0.9044	0.0004	1.7420	1.7420	0.0000	0.00000007	0.754020	0.754020	-0.000000
allyl_radical	8	0	2	32.449730	32.449729	-0.000001	-9.0160	-9.0157	0.0003	1.1300	1.1302	0.0002	0.0130	0.0126	-0.0004	0.00000053	0.870539	0.870539	-0.000000
oxygen_dication_triplet	2	2	3	813.982940	813.982939	-0.000001		-30.4848			-20.2288		0.0000	0.0000	0.0000	0.00000000	2.001384	2.001384	-0.000000
carbon_dimer_quintet	2	0	5	269.422270	269.422265	-0.000005	-7.8100	-7.8100	0.0000	0.1030	0.1029	-0.0001	0.0000	0.0000	0.0000	0.00000000	6.013492	6.013491	-0.000001
